category,question,answer,language
证券交易服务一般资讯,在户口概览中，证券之「平均成本」是什么？,「平均成本」是根据本行所知的以加权平均买入价及收费计算，所显示之金额只供参考之用。如阁下持有于2015年2月27日或之前买入的美国证券，有关持货的加权平均成本会按2015年2月27日之收市价计算。 ,sc
证券交易服务一般资讯,证券交易服务是否设有交易限额？ ,"是。现时每笔证券交易的交易限额为等值港币$2,000,000。 ",sc
证券交易服务一般资讯,我会收到哪些种类的账户结单？ ,如果账户内当日有交易纪录，阁下便会收到日结单。月结单亦会于每月的首七天内寄给阁下。阁下可于月结单上看到阁下在过去一个月内所进行的交易纪录，以及阁下账户内的现金结余及持有的证券。再者，阁下亦可于网上翻阅阁下的账户数据。,sc
证券交易服务一般资讯, 我如果想复印我的每月或每日的结单，我可以怎样做？ ,阁下可提出要求取得复印的结单。阁下可致电本行的证券服务专线向本行之产品专员指出要求，此服务需额外收费。 ,sc
证券交易服务一般资讯,我可如何取得进一步协助？ ,你可亲临中信银行（国际）分行，或致电与本行客户服务主任联络(香港证券及沪港通服务请致电：2287 6088；美国证券服务请致电：2287 6688)。 ,sc
证券交易服务一般资讯,我的证券交易指示尚未成盘，为何会收到短讯提示？,为加强证券交易服务之保安，阁下于各地市场每个历日之首个交易指示将收到短讯提示。,sc
证券交易服务一般资讯,如我在三地市场均有落盘，我是否会收到三个短讯提示？,是。于各市场同一历日之首个交易指示，均会收到相关短讯提示。,sc
香港证券交易服务,我可以于什么渠道买卖香港证劵？,"你可透过以下渠道买卖香港证劵：
网上理财
CITIC 流动理财
自动电话理财证券买卖专线
专人接听证券买卖热线
",sc
香港证券交易服务,我可选择什么交易盘？ ,"你可选择：
竞价限价盘
增强限价盘
市价盘
获利限价盘
止蚀限价盘
",sc
香港证券交易服务,我可落碎股盘吗？ ,你只须在「证券交易」版面选择「香港证券交易」，再进入「沽出碎股」版面，你便可输入碎股沽盘。请注意，本行不接受碎股买入交易。,sc
香港证券交易服务,什么是「有效日期」特性？ ,「有效日期」功能让你可设定交易盘最长有效期至八个交易日。带至下一交易日之交易将以竞价限价盘之形式于开市前时段处理。如交易已部份成盘、全数成盘、取消或被拒纳，指示将不会带至下一个交易日。,sc
香港证券交易服务,为何输入的交易被拒并显示提示讯息「指示价已超过可接受的交易价位」？ ,本行只接受落盘价格离现价 199 个价位范围内的竞价限价盘及离现价 23 个价位范围内的增强限价盘。超出以上范围的交易指示将被拒纳。 ,sc
香港证券交易服务,不同股价的最低上落价位是多少？ ,"


股价由(HK$) 
最低上落价位


0.01
0.001


0.25
0.005


0.50
0.010


1.00
0.010


2.00
0.010


5.00
0.010


10.00
0.020


20.00
0.050


100.00
0.100


200.00
0.200


500.00
0.500


1000.00
1.000


2000.00
2.000


5,000.00 至 9,995.00
5.000


",sc
香港证券交易服务,我可如何透过网上理财 / 流动理财处理改盘或取消盘指示？ ,你只须在「证券交易」版面选择「香港证券交易」，再进入「交易情况 / 更改交易指示」版面以处理改盘或取消盘指示。请注意，已确定之沽出碎股指示不能作更改或取消。 ,sc
香港证券交易服务,在网上理财落盘后，我可否透过其他渠道查询、更改或取消交易指示？ ,可以。你可选择跨渠道处理交易指示。例如，你可透过流动理财、自动化电话系统或专人接听电话交易专线处理各指示。,sc
香港证券交易服务,香港证券交易的交收安排为何？ ,香港证券交易会按照港交所的交收周期进行。证券及款项的交收会于T+2交易日进行。 ,sc
香港证券交易服务,在进行「双柜台」(人民币及港币柜台)证券买卖时，有什么须要注意？ ,买卖「双柜台」(人民币及港币柜台)证券时，请注意如发行人只以人民币分派股息，你必须持有人民币结算账户，方可收取人民币股息。 ,sc
香港证券交易服务,在参予买卖纳斯达克–美国证券交易所试验计划(试验计划)之证券时，有什么须要注意？ ,按照纳斯达克–美国证券交易所试验计划(试验计划)挂牌买卖的证券是为熟悉投资技巧的投资者而设的。你在买卖该项试验计划的证券之前，应先咨询有关持牌人或注册人的意见和熟悉该项试验计划。你应知悉，按照该项试验计划挂牌买卖的证券并非以香港联合交易所有限公司的主板或创业板作第一或第二上市的证券类别加以监管。 ,sc
沪港通,沪港通是什么？,「沪港证券交易机制」(沪港通)建立一个香港及中国内地的共同市场。沪港通容许投资者利用交易所及结算中心，交易及结算于两地证券市场的上市证券。沪港通是由香港交易所（港交所）、上海证券交易所（上交所）与中国证券登记结算有限责任公司（中国结算）在中国内地与香港两地证券市场建立的交易及结算互联互通机制，旨在实现两地投资者直接进入对方市场的目标。 在沪港通项目下，香港联合交易所有限公司（联交所）与上交所将实现两地市场买卖盘相互传递及设立相关技术基础设施，从而让各自市场的投资者能够买卖在对方市场上市的指定股本证券。中华通—指为互相进入联交所和上交所市场，由联交所、上交所、香港结算和中国结算建立的或将要建立的证券交易及结算互联互通机制。 港股通—内地合资格投资者可透过沪港通南向交易于上海证券交易所(上交所)登记的内地证券所及证券交易服务公司，向港交所发出交易指示买卖于香港联合交易上市(港交所)的合资格港股通证券。合资格证券包括恒生综合大型股指数及恒生综合中型股指数的成份股，以及所有同时于上交所及港交所上市的证券。 沪股通—香港及海外投资者可透过沪港通北向交易于港交所登记的本地证券所及证券交易服务公司，向上交所发出交易指示买卖于上交所上市的合资格沪股通证券。沪股通的合资格证券包括上证180指数及上证380指数成份股，以及所有同时于上交所及港交所上市的证券(不包括被实施风险警示及并非以人民币买卖的证券)。 ,sc
沪港通,我可以于什么渠道买卖沪股通证券？,"你可透过以下渠道买卖沪股通证券：
网上理财
CITIC 流动理财
自动电话理财证券买卖专线
专人接听证券买卖热线
",sc
沪港通,请问沪股通证券买卖接受什么指示盘？ ,沪股通证券买卖一律只接受限价盘。你的限价盘指示会于开盘集合竞价时段送出市场。,sc
沪港通,北向交易的交收安排为何？ ,与港股的交收安排不同，北向交易会按照上交所A股市场的交收周期进行。证券交收会于交易日（T日）进行，款项交收则会于T+1日进行。 ,sc
沪港通,请问我可以于买入沪股通证券当天实时将该证券卖出吗？另外，我可以将即日卖出证券的款项实时买入其他的沪股通证券吗？ ,不可以，北向交易不允许进行即日买卖，你于交易日（T日）买入的沪股通证券只可以于T+1日或之后卖出。另外，因为款项交收会于T+1日进行，你不可以将即日卖出证券的款项实时买入其他沪股通证券。 ,sc
沪港通,请问我的沪股通证券买卖指示可以更改或取消吗？ ,北向交易不允许更改买卖指示。如欲更改买卖指示，你必须先取消原有未执行的买卖指示，于成功取消后，阁下可重新提交新的买卖指示。,sc
沪港通,买卖沪股通证券，需要缴付什么费用？ ,你需支付第三者费用如经手费、证管费、过户费、交易印花税，以及本行费用如经纪佣金。详情请参阅「投资产品服务收费」。有关费用会以人民币支付。,sc
沪港通,沪股通证券会在什么情况下被暂停买入？ ,"你于下列情况下将不可以买入沪股通证券：
							a)该等证券不再属于有关指数成份股；
							b)该等证券被实施风险警示；
							c)该等证券相应的H股不再在联交所挂牌买卖；
							d)每日额度余额降至零或以下；
							e)总额度余额少于每日额度。 ",sc
沪港通,沪股通证券的每手单位 / 碎股、买卖规模及最低上落价位如何？,所有沪股通证券每手均为100股（必须以整手发出买入指示），仅沽出指示可接纳碎股。沪股通证券最低上落价位划一为人民币0.01元。每宗单一买卖指示之最高限额为100万股。 ,sc
沪港通,请问我的买入指示有可能会以碎股成交？,你的买入指示的最终成交股数有可能出现碎股。,sc
沪港通,恶劣天气情况下，会如何安排？,"北向交易在恶劣天气情况下的交易安排如下：
若上交所通知由于恶劣天气下一交易日可能暂停A股交易，联交所将会相应地通知香港市场。 
假如 8 号（或以上）台风讯号及 / 或黑色暴雨警告在香港市场开市前发出，北向交易将暂停服务。当该讯号停止，北向交易按照现行香港做法恢复交易。（详情请参阅香港交易所网站：http://www.hkex.com.hk/chi/market/typhoons/tradingarrangement_c.htm）
假如 8 号（或以上）台风讯号在香港市场开市后但上海市场开市前发出（9时至9时15分之间），北向交易将暂停服务。 
假如 8 号（或以上）台风讯号在上海市场开市后才发出，于讯号发出后15分钟后将停止交易。之后只会接受取消买卖指示直至上交所收市。 




情况
北向交易
香港市场现有安排


八号台风讯号 / 黑色暴雨警告于香港市场开市前发出(即早上9时前)
不开放
不开放


八号台风讯号于早上9时至9时15分之间发出
不开放
开市前时段后停止交易


八号台风讯号于早上9时至9时15分之间发出（即早上9时15分）
15分钟后停止交易，之后只接受取消买卖指示直至上交所收市
15分钟后停止交易


黑色暴雨警告于香港市场开市后发出
如常交易
如常交易


八号台风讯号 / 黑色暴雨警告于中午12时前解除
两小时后恢复交易
两小时后恢复交易


八号台风讯号 / 黑色暴雨警告于中午12时后解除
不开放
不开放


",sc
沪港通,我已持有证券交易户口，可否实时买卖沪股通证券？,你只需为现有的证劵交易户口设定人民币结算户口，即可于下一个工作天买卖沪股通证券。如欲设定证劵交易户口的结算户口，请即登入网上理财或亲临分行办理。 ,sc
沪港通,我已持有证券交易户口，但未设定证券交易户口的人民币结算户口，该怎么办？,如欲设定证劵交易户口的结算户口，请即登入网上理财或亲临分行办理。 ,sc
沪港通, 我可否认购首次公开发售之沪股通证券新股？,不，沪港通并不支持首次公开招股。,sc
沪港通,哪里可获取更多有关沪港通的信息？,"你可透过香港交易所网站的「中国证券市场网页」查阅更多有关沪港通的信息，例如投资者数据文件、投资者常见问题、合资格股份、投资额度余额等等。(网址：http://www.hkex.com.hk/chi/csm/chinaConnect.asp?LangCode=tc)买卖上海 A 股与港股的比较



 
透过沪港通北向交易买卖上海A股
于香港买卖港股


可买卖证券
- 上证180指数的成份股- 上证380指数的成份股- 同时在港交所及上交所上市的A股(不包括被实施风险警示及并非以人民币买卖的证券)
于港交所上市的所有证券


额度
总额度：人民币3,000亿元每日额度：人民币130亿元
没有额度限制


结算货币
人民币
港币


每手股数
每手均为100股
每手股数按个别证券而定


价格限制
落盘价位不可超过前一日收市价的+/- 10%
没有规定


最低上落价位
划一为人民币0.01元
按证券价格由港币0.001元至5元不等


交易时间
开盘集合竞价：09:15 – 09:25早市：09:30 – 11:30午市：13:00 – 15:00
开市前时段：09:00 – 09:30早市：09:30 – 12:00 延续早市：12:00-13:00午市：13:00 – 16:00收市竞价交易时段：16:00-16:10


交易日
两地市场均开放交易且两地市场的银行于相应的交收日均开放服务的工作日
所有港交所交易日


交收及结算
证券交收：T日款项交收：T+1日
证券及款项交收：T+2日


回转交易(即日鲜)
不允许，刚于T日买入的证券仅可以于T+1日或之后卖出
允许


收费及税项
- 经手费(上交所收取)：成交额的0.00487%- 证管费(中国证监会收取)：成交额的0.002%- 过户费(0.002%由中国结算收取，0.002%由香港结算收取)：成交额的0.004%- 交易印花税(国家税务总局收取)：成交金额的0.1% (卖货)
- 交易征费(香港证监会收取)：成交额的0.0027%- 交易费(港交所收取)：成交额的0.005%- 印花税(香港特区政府收取)：成交金额的 0.1%


",sc
美国证券交易服务,中信银行(国际)的美国证券交易服务包括什么产品和服务？,"本行的美国证券交易服务提供美国上市证券的买卖及托管服务，包括在纽约证券交易所及纳斯达克证券市场上市之证券。惟本行并不接受任何市值低于5,000万美元及股价低于0.5美元之证券的买入指示。 ",sc
美国证券交易服务,我可以于什么渠道买卖美国证券？,"你可透过以下渠道买卖美国证券：
网上理财
CITIC流动理财
",sc
美国证券交易服务,我可以于网上开立户口买卖美国证券吗？ ,现有客户可于网上银行开立证券账户，只须登入 i-banking 后于「开立户口」页面选择开立「证券现金户口」，并亲临分行完成 W-8BEN 表格及市场数据展示服务协议即可买卖美国证券。如阁下为全新客户或尚未开立网上银行服务，客户可亲临分行辨理。请注意，本行的证券买卖服务不适用于美国人士。 ,sc
美国证券交易服务,什么是W-8BEN表格？它是否需要更新？ ,W-8BEN 表格是用作向美国国税局 (Internal Revenue Service) 申报非美国人士身份的文件。此表格是需要每 3 年更新一次。否则，于 W-8BEN 表格过期后所进行之美国证券交易将不会再按非美国人士之标准征税。 ,sc
美国证券交易服务,何时为美国证券市场的交易时间？,"
北半球夏令时段 - (香港时间) 21:30 - 04:00
北半球冬令时段 - (香港时间) 22:30 - 05:00
北半球夏令时段由每年三月的第二个星期日的凌晨 2am 开始。 北半球冬令时段由每年十一月的第一个星期日的凌晨 2am 开始。 阁下可于(香港时间) 19:30至美国证券市场收市前经本行的网上银行进行交易。阁下如有任何问题，可联络本行的美国证券服务专线(852) 2287 6688 寻求协助。 服务时间(香港时间)：星期一至五全日[上午5时至9时(北半球夏天)及上午6时至9时、下午9时至10时(北半球冬天)及美国公众假期除外]",sc
美国证券交易服务,我需要多久才可以沽出我的证券及何时可以收到已沽售证券之金额？,阁下之证券可于买入后实时沽出。卖货之金额将于卖货执行后3日(即交易日后3个工作日)存入阁下之账户内。 ,sc
美国证券交易服务,我可否于香港的公众假期时买卖美国之证券？,可以，只要美国证券市场是交易日便可。,sc
美国证券交易服务, 投资海外的证券是否需要缴税？ ,非美国人士买卖美国证券所得之资本收益可豁免缴付任何美国税项，但所得之股息收入则须缴付30%之预扣税。上述并非税项建议，有关税项问题，请咨询个别之税务顾问。 ,sc
美国证券交易服务, 美国证交会收费如何？ ,美国证交会收费即本行投资产品服务收费表上所指的销售税(Sales Tax)，是根据1934年证券交易所法而厘订，这项费用适用于沽出交易所上市之证券。这项费用为个别收费，与经纪佣金及其他交易征费不同。美国证券交易委员会将不时重估有关收费。 ,sc
EIPO,甚么是首次公开招股？,「首次公开招股」(IPO)是指一间公司首次向公众投资者发行新股及将证券在证券交易所上市买卖。 ,sc
EIPO,i-banking的网上认购新股服务能提供的服务是甚么？,i-banking客户可透过这项服务经网上认购首次发行的新股(黄表申请)。 ,sc
EIPO,客户需符合甚么资格才可透过i-banking认购新股？,"客户须：
为本行的i-banking客户(个人客户)；
为个人申请者；
拥有有效之个人名义的证券户口(黄表申请者)；
个别公司于首次公开招股或许会接受非香港居民申请，详情请参阅有关招股书。
",sc
EIPO,网上认购新股有什么步骤？,"第一步 
							于决定认购新股前，你应该细阅有关之招股书，才作出投资决定。你可于登入i-banking后，到 ""证券交易"" > ""新股认购""中取得有关之招股数据第二步 
							按 "" 网上认购 "" 键及阁下欲申请之新股，细阅电子公开招股服务之条款及细则及一般条款，填写申请表及发出有关之付款指示，以便我们于特定时间从你的指定账户扣除认购股款第三步 
							确认你的申请详情及于网上递交申请表后，你即获发参考编号以作记录 第四步 
							请确保你的指定支账账户有足够款项以便我们于所定的时间过账，否则有关申请将会自动作废，亦不作另行通知",sc
EIPO,是否可以修改或取消网上新股认购的申请？,不可以，申请表一旦获得接纳，即不得修改或取消。,sc
EIPO,怎样才知道申请是否已被成功递交股份过户登记处？,我们会于所指定的支账账户中扣除申请股份所需之款项后把申请表于正式截止时间前送交股份过户登记处。如申请表上有任何错误或所指定的支账账户未有足够款项，申请将会自动作废，并不另行通知。,sc
EIPO,怎样取回因认购申请未获成功分配而退回的认购金额，或因股价调整后而多付之申请金额？,"黄表申请者
							退款将会于指定的退款日直接存入客户的证券户口内。白表申请者
							发行人之股份过户处将以支票形式把有关之认购金额退回客户。退款支票将于发行人公布之退款日期当天，以邮递方式寄回客户于网上认购新股服务申请表上所填报之地址。",sc
EIPO,如认购申请成功地获得分配，客户会否收到证券？客户将怎样取得获分配之股份？,"黄表申请者
							如客户之申请全部或部份获接纳，所获配发之证券将会直接存入客户的证券户口内。白表申请者
							如客户成功地获得分配股份，发行人之股份过户处将以客户之名字登记而发出证券，并于发行人公布之派发日期内，以邮递方式把证券寄予客户于网上认购新股服务申请表上所填报之地址。",sc
EIPO,EIPO申请的手续费是多少？,有关数据以个别EIPO为准。 ,sc
EIPO,可以登入自己的i-banking帮别人申请EIPO吗？,不可以。,sc
EIPO,认购新股公司股份涉及的风险,"认购高于投资者的需要
							投资人士可能因未必会完全获取其认购数量而认购多于自己的实际需要 , 但假如是次招股行动并没有超额认购，投资者将会获得所有认购的数量及支付全数应缴款项。 市场风险
							当公司挂牌上市后，其股份有机会跌破招股价。业务风险
							决定投资之前，你应了解有关公司之业务性质，彻底细读其招股书、公司财务报告、甚至寻求专业人士的意见，方才作出投资决定。",sc
證券交易服務一般資訊,網上理財 / 流動理財證券交易步驟,"
登入中信銀行國際網上理財/流動理財 
選擇證券交易 > 選擇證券交易市場（香港證券交易 / 滬港通 / 美國證券交易） >  交易
輸入買賣交易指示內容 > 按遞交鍵
核實交易指示內容無誤 > 按確定鍵
系統接納交易指示後，會顯示交易編號(你可於「交易情況 / 更改交易指示」查詢有關交易狀態資料)
",tc
證券交易服務一般資訊,我需要提供什麼資料作買賣指令？,"當閣下登入後，可以在交易頁面頁進行買賣，請參照以下步驟：
於報價欄輸入證券代號索取證券價格。(如果閣下不知道證券代號，請按「代號搜尋」進行查詢。)
選擇適當的證券交易戶口
選擇交易類別（如適用）
輸入適當的證券編號(如果閣下不知道證券代號，請按「編號搜尋」進行查詢。)
在「股數」欄輸入閣下想買入或賣出的股數。
輸入「限定價格」（如適用）
選擇「有效日期」（如適用）。
按「遞交」按鈕預覽閣下所輸入的指令或按「清除」按鈕清除所有以選擇之項目及重新開始。
按「確定」進行閣下的交易指令。
交易確認隨後便會顯示，以確定此交易指令已被接受並進行處理。此時，閣下亦會收到一個交易編號。",tc
證券交易服務一般資訊,當我買賣證券時，中信銀行(國際)何時會於我的賬戶內扣除我已購入之證券款項 ？,當本行確認處理買盤指示後，有關之買貨金額將會被凍結於閣下的證券結算賬戶內。本行會於結算日於閣下之賬戶內扣除已認購之證券款項。閣下已購入之證券於交易日及結算日中間之時段仍然於閣下之賬戶內享有利息。,tc
證券交易服務一般資訊,我可如何透過網上理財查詢證劵交易之購買力？,請於交易頁面，選擇適當的證券交易戶口，再按「查詢結算戶口結餘」，各貨幣之可供交易的總結餘即一目了然。,tc
證券交易服務一般資訊,我如何確定我的交易指令已透過互聯網傳到中信銀行(國際)，並且已經得到處理？,"閣下會立即在網上收到一個交易編號，這表示本行已收到閣下的指令。閣下需按「交易狀況」檢閱閣下的買賣指令狀況，查看閣下指令是否經已執行。買賣狀況的類別包括執行中、已掛牌、全數成交、部份成交、已過期指令及交易被拒絕。
待處理 - 交易指示待本行處理。
執行中 - 交易指示處理中。
已掛牌 - 待完成交易指示。
全數成交 - 交易指示全數被執行。
部份成交 - 交易指示部份被執行。
已過期指令 - 交易指示還未執行因已過了原有之指定時間。
交易被拒絕 - 交易指示因特定原因被拒絕。
",tc
證券交易服務一般資訊,我可如何查詢交易狀況或成盤結果？,你只須在證券交易版面，再進入「交易情況 / 更改交易指示」版面，便可查詢交易狀況或成盤結果。你亦可選擇接收電郵/短訊以獲通知成盤結果。,tc
證券交易服務一般資訊,我如果想更改正在處理中或其他的指令，我可以怎樣做？,"
按「交易情況 / 更改交易指示」。
在選定之交易指示列選擇「更改」，畫面上便會隨後出現「更改買賣指令」版面。
於所需的欄目內輸入更改的指令。此時現有指令詳情會列在畫面的左方，使比較起來更為方便。
交易確認隨後便會顯示，以確定此交易指令當中的更改已被接收，並進行處理。在這裡，閣下可進入「交易狀況」連結查核閣下的指令狀況。 
請注意：本行將盡最大努力迅速地將取消交易指示遞交至各個交易市場。任何全數取消，未完成交易或部份成交之更改交易指示，並不能保證完全執行，基於原有的交易指示或已部份或全部被執行。更改交易指示或取消交易指示將視乎市場情況及原有的交易指示之執行情況而定。",tc
證券交易服務一般資訊,如果我想取消正在處理中或已部份成交的指令，我可以怎樣做？,"
按「交易情況/更改交易指示」。
在選定之交易指示列選擇「取消」，畫面上便會隨後出現「取消交易指示」版面。
按「取消交易」鍵以確定進行取消指令的步驟。
如果閣下選擇取消了一張不當的指令或閣下原本並不想取消的指令，請按「取消」鍵。如果當中發生錯誤，此時版面會顯示詳情。
交易確認隨後便會顯示，以確定此交易指令已被接收，並進行處理。在這裡，閣下可再按入「交易狀況」查核閣下的指令狀況。
閣下可取消仍未成交的證券買賣指令。只須到「交易狀況」版面然後按「取消」，閣下便可取消指令。請注意客户所提交的取消指令本行將盡最大努力迅速地將取消交易指示遞交至各個交易市場。任何全數取消，未完成交易或部份成交之更改交易指示，並不能保證完全執行，基於原有的交易指示或已部份或全部被執行。",tc
證券交易服務一般資訊,如果我的買賣指令在有效日期收市前仍未被執行將會怎樣處理？,在有效日期收市後，所有未能配對的買賣盤將被刪除。如閣下想將指令於下一個工作天執行，閣下須在收市後重新輸入指令。,tc
證券交易服務一般資訊,未成交的交易指示被取消時，交易狀況及結餘會有什麽變化？,被取消之交易所涉及的「待執行指令所預留現金」會撥回至「買貨可使用結餘」。,tc
證券交易服務一般資訊,未成交的交易指示到期時，交易狀況及結餘會有什麽變化？,於有效日期收市以後，此類交易指示會於「交易狀況」顯示為「已過期指令」，其涉及的「待執行指令所預留現金」會撥回至「買貨可使用結餘」。,tc
證券交易服務一般資訊,在戶口概覽中，證券之「平均成本」是什麼？,「平均成本」是根據本行所知的以加權平均買入價及收費計算，所顯示之金額只供參考之用。如閣下持有於2015年2月27日或之前買入的美國證券，有關持貨的加權平均成本會按2015年2月27日之收市價計算。,tc
證券交易服務一般資訊,證券交易服務是否設有交易限額？,"是。現時每筆證券交易的交易限額為等值港幣$2,000,000。",tc
證券交易服務一般資訊,我會收到哪些種類的賬戶結單？,如果賬戶內當日有交易紀錄，閣下便會收到日結單。月結單亦會於每月的首七天內寄給閣下。閣下可於月結單上看到閣下在過去一個月內所進行的交易紀錄，以及閣下賬戶內的現金結餘及持有的證券。再者，閣下亦可於網上翻閱閣下的賬戶資料。,tc
證券交易服務一般資訊,我如果想複印我的每月或每日的結單，我可以怎樣做？,閣下可提出要求取得複印的結單。閣下可致電本行的證券服務專線向本行之產品專員指出要求，此服務需額外收費。,tc
證券交易服務一般資訊,我可如何取得進一步協助？,你可親臨中信銀行（國際）分行，或致電與本行客戶服務主任聯絡(香港證券及滬港通服務請致電：2287 6088；美國證券服務請致電：2287 6688)。,tc
證券交易服務一般資訊,我的證券交易指示尚未成盤，為何會收到短訊提示？,為加強證券交易服務之保安，閣下於各地市場每個曆日之首個交易指示將收到短訊提示。,tc
證券交易服務一般資訊,如我在三地市場均有落盤，我是否會收到三個短訊提示？,是。於各市場同一曆日之首個交易指示，均會收到相關短訊提示。,tc
香港證券交易服務,我可以於什麼渠道買賣香港證劵？,"你可透過以下渠道買賣香港證劵：
網上理財 
CITIC流動理財
自動電話理財證券買賣專線
專人接聽證券買賣熱線
",tc
香港證券交易服務,我可選擇什麼交易盤？,"你可選擇：
競價限價盤
增強限價盤
市價盤
獲利限價盤
止蝕限價盤
",tc
香港證券交易服務,我可落碎股盤嗎？,你只須在「證券交易」版面選擇「香港證券交易」，再進入「沽出碎股」版面，你便可輸入碎股沽盤。請注意，本行不接受碎股買入交易。,tc
香港證券交易服務,什麼是「有效日期」特性？,「有效日期」功能讓你可設定交易盤最長有效期至八個交易日。帶至下一交易日之交易將以競價限價盤之形式於開市前時段處理。如交易已部份成盤、全數成盤、取消或被拒納，指示將不會帶至下一個交易日。,tc
香港證券交易服務,為何輸入的交易被拒並顯示提示訊息「指示價已超過可接受的交易價位」？,本行只接受落盤價格離現價199個價位範圍內的競價限價盤及離現價23個價位範圍內的增強限價盤。超出以上範圍的交易指示將被拒納。,tc
